Datensatz,Prozent des Trainingssatzes,Train/Validation/Test,AUC,ACC
octmnist,0.1,train,0.945106930276939,0.8775133360689372
octmnist,0.1,val,0.9382073477859594,0.8621676514032496
octmnist,0.1,test,0.9046453333333333,0.679
octmnist,0.25,train,1.0,0.9993
octmnist,0.25,val,0.96467,0.89900
octmnist,0.25,test,0.9308,0.71
octmnist,0.5,train,0.9904509650156382,0.9599696335508228
octmnist,0.5,val,0.9745155530733025,0.9245753323485968
octmnist,0.5,test,0.9440586666666666,0.726
octmnist,0.75,train,0.9969318112943333,0.9825053345735076
octmnist,0.75,val,0.9800638693979628,0.9368537666174298
octmnist,0.75,test,0.9495066666666666,0.76
octmnist,1.0,train,0.9999908789873171,0.9976712455245853
octmnist,1.0,val,0.9811310059859608,0.9382385524372231
octmnist,1.0,test,0.9477046666666666,0.769
pneumoniamnist,0.1,train,0.9886936416184972,0.9490445859872612
pneumoniamnist,0.1,val,0.9833952204132153,0.9427480916030534
pneumoniamnist,0.1,test,0.9511834319526628,0.8397435897435898
pneumoniamnist,0.25,train,1.0,1.0
pneumoniamnist,0.25,val,0.99425,0.96947
pneumoniamnist,0.25,test,0.96057,0.86538
pneumoniamnist,0.5,train,0.996419808839208,0.975785896346644
pneumoniamnist,0.5,val,0.9925545082357421,0.9656488549618321
pneumoniamnist,0.5,test,0.9572430418584265,0.8397435897435898
pneumoniamnist,0.75,train,0.9995261221486387,0.9912206173888417
pneumoniamnist,0.75,val,0.9947634009330668,0.9694656488549618
pneumoniamnist,0.75,test,0.9611385053692746,0.8397435897435898
pneumoniamnist,1.0,train,1.0,1.0
pneumoniamnist,1.0,val,0.9961153956012568,0.9675572519083969
pneumoniamnist,1.0,test,0.9629848783694938,0.842948717948718
pathmnist,0.1,train,0.9872411435040426,0.8686666666666667
pathmnist,0.1,val,0.9864899733184234,0.8655537784886046
pathmnist,0.1,test,0.9554330298409168,0.7866295264623956
pathmnist,0.25,train,0.9950610669125326,0.9295524245522023
pathmnist,0.25,val,0.9924392217520148,0.9107357057177129
pathmnist,0.25,test,0.9523667664873824,0.8274373259052925
pathmnist,0.5,train,0.9990573865680352,0.9714653984621539
pathmnist,0.5,val,0.9969366507527483,0.9460215913634547
pathmnist,0.5,test,0.9687057098617875,0.8522284122562674
pathmnist,0.75,train,1.0,0.99997
pathmnist,0.75,val,0.99861,0.96261
pathmnist,0.75,test,0.9648,0.86198
pathmnist,1.0,train,1.0,0.9999777767900796
pathmnist,1.0,val,0.999127378702323,0.9725109956017592
pathmnist,1.0,test,0.9769790735509019,0.870891364902507
chestmnist,0.1,train,0.6736899620963053,0.9474776529701978
chestmnist,0.1,val,0.6545534717143271,0.948887728725504
chestmnist,0.1,test,0.6505463503695355,0.9472460851678968
chestmnist,0.25,train,0.7210431086694671,0.948430297336858
chestmnist,0.25,val,0.6746371401224033,0.9491360319865534
chestmnist,0.25,test,0.667924942156375,0.9473193191153338
chestmnist,0.5,train,0.7579765507468459,0.9490984495954675
chestmnist,0.5,val,0.6913079910131826,0.9490023302306038
chestmnist,0.5,test,0.6897570301856099,0.9473288713693474
chestmnist,0.75,train,0.7831797199089087,0.9503722475889473
chestmnist,0.75,val,0.6959340692137077,0.9481046184406556
chestmnist,0.75,test,0.6871394332761449,0.9466411090803727
chestmnist,1.0,train,0.7899738001448098,0.9497757047458838
chestmnist,1.0,val,0.7088738576230247,0.9488495282238041
chestmnist,1.0,test,0.6998749127050987,0.9474084734861269
retinamnist,0.1,train,0.7799076667704119,0.49074074074074076
retinamnist,0.1,val,0.7161044002555063,0.425
retinamnist,0.1,test,0.6926375816272083,0.455
retinamnist,0.25,train,0.799940385939319,0.5185185185185185
retinamnist,0.25,val,0.7646368945346824,0.45
retinamnist,0.25,test,0.6855451561640876,0.4325
retinamnist,0.5,train,0.8030143785317087,0.55
retinamnist,0.5,val,0.7686140090381128,0.49166666666666664
retinamnist,0.5,test,0.6939087053059761,0.47
retinamnist,0.75,train,0.943724280069899,0.7888888888888889
retinamnist,0.75,val,0.7748517009842715,0.5
retinamnist,0.75,test,0.7203938920072147,0.525
retinamnist,1.0,train,1.0,1.0
retinamnist,1.0,val,0.7491013640087629,0.475
retinamnist,1.0,test,0.7157727911651008,0.4975
dermamnist,0.1,train,0.8553000539465769,0.7189728958630528
dermamnist,0.1,val,0.8530943763120619,0.6939182452642074
dermamnist,0.1,test,0.8347194064199757,0.6922693266832918
dermamnist,0.25,train,0.9148405351098383,0.7791095890410958
dermamnist,0.25,val,0.8893753990277695,0.7208374875373879
dermamnist,0.25,test,0.8692154510699458,0.7112219451371571
dermamnist,0.5,train,0.9419243638410432,0.8216324200913242
dermamnist,0.5,val,0.9016720131527238,0.7268195413758723
dermamnist,0.5,test,0.8915182626931506,0.7231920199501247
dermamnist,0.75,train,0.9600772300514724,0.8529019980970505
dermamnist,0.75,val,0.9089787653457818,0.7218344965104686
dermamnist,0.75,test,0.8969112387581913,0.7316708229426434
dermamnist,1.0,train,0.9727214939294045,0.8772655915513058
dermamnist,1.0,val,0.9086552375951354,0.7437686939182453
dermamnist,1.0,test,0.8982473100955605,0.7381546134663342
breastmnist,0.1,train,0.6906906906906908,0.7090909090909091
breastmnist,0.1,val,0.8011695906432749,0.782051282051282
breastmnist,0.1,test,0.716374269005848,0.7628205128205128
breastmnist,0.25,train,0.860062893081761,0.8014705882352942
breastmnist,0.25,val,0.7794486215538847,0.8333333333333334
breastmnist,0.25,test,0.8333333333333333,0.8205128205128205
breastmnist,0.5,train,1.0,1.0
breastmnist,0.5,val,0.88638,0.84615
breastmnist,0.5,test,0.83584,0.80128
breastmnist,0.75,train,0.9841815059206362,0.9414634146341463
breastmnist,0.75,val,0.9147869674185464,0.8589743589743589
breastmnist,0.75,test,0.8788638262322472,0.8461538461538461
breastmnist,1.0,train,1.0,1.0
breastmnist,1.0,val,0.9197994987468672,0.8846153846153846
breastmnist,1.0,test,0.8709273182957393,0.8589743589743589
organmnist_coronal,0.1,train,0.9875885410091979,0.8969230769230769
organmnist_coronal,0.1,val,0.9964292180209181,0.9188963210702341
organmnist_coronal,0.1,test,0.9719060474672471,0.8114417029511369
organmnist_coronal,0.25,train,0.9973053397466881,0.943076923076923
organmnist_coronal,0.25,val,0.9990400813263519,0.9573578595317725
organmnist_coronal,0.25,test,0.9860449147237059,0.8642960812772134
organmnist_coronal,0.5,train,0.9992557877305949,0.9735384615384616
organmnist_coronal,0.5,val,0.9993109165631093,0.9653010033444817
organmnist_coronal,0.5,test,0.9871705087370848,0.8829221093372037
organmnist_coronal,0.75,train,0.999836611990549,0.9894358974358974
organmnist_coronal,0.75,val,0.9994667206536693,0.9732441471571907
organmnist_coronal,0.75,test,0.9897466051037824,0.8957426221577165
organmnist_coronal,1.0,train,0.9999978971360952,0.999
organmnist_coronal,1.0,val,0.999397375468072,0.967391304347826
organmnist_coronal,1.0,test,0.9902700902663462,0.8985244315432994
organmnist_sagittal,0.1,train,0.9716761979991729,0.7604017216642754
organmnist_sagittal,0.1,val,0.9752727485796686,0.7263458401305057
organmnist_sagittal,0.1,test,0.9409884906009581,0.6307622607316797
organmnist_sagittal,0.25,train,0.9877186224816683,0.8384505021520804
organmnist_sagittal,0.25,val,0.9858563054539704,0.7879282218597063
organmnist_sagittal,0.25,test,0.9592188838107701,0.6979272850832484
organmnist_sagittal,0.5,train,0.9910126768855467,0.8787661406025825
organmnist_sagittal,0.5,val,0.9901620982503497,0.8397226753670473
organmnist_sagittal,0.5,test,0.9651189601328578,0.72805527239778
organmnist_sagittal,0.75,train,0.9949551090524218,0.9007173601147777
organmnist_sagittal,0.75,val,0.9914203679740495,0.8592985318107668
organmnist_sagittal,0.75,test,0.9679469042332772,0.7368897949937705
organmnist_sagittal,1.0,train,0.9976763259832143,0.9448350071736011
organmnist_sagittal,1.0,val,0.9917644516067162,0.8588907014681892
organmnist_sagittal,1.0,test,0.9703412054929056,0.7486691584550912
organmnist_axial,0.1,train,0.9973955531210728,0.9395604395604396
organmnist_axial,0.1,val,0.9992600205247949,0.9696502850100138
organmnist_axial,0.1,test,0.9863989655775565,0.8594892563842952
organmnist_axial,0.25,train,0.9994244847878536,0.9762868710237131
organmnist_axial,0.25,val,0.9994896772397066,0.9617932521953474
organmnist_axial,0.25,test,0.99227560442044,0.8966700416244797
organmnist_axial,0.5,train,0.9999512791775774,0.9954308849045691
organmnist_axial,0.5,val,0.9998282814709811,0.9739639500847327
organmnist_axial,0.5,test,0.9942594924733466,0.9203509956125548
organmnist_axial,0.75,train,0.999995065957256,0.9981107341147439
organmnist_axial,0.75,val,0.9998254160832526,0.9745801879525496
organmnist_axial,0.75,test,0.9945946407394003,0.9133198335020812
organmnist_axial,1.0,train,0.9999999287219108,0.999884329545126
organmnist_axial,1.0,val,0.999805527490879,0.9779694962255431
organmnist_axial,1.0,test,0.9954619893312363,0.9185510181122736
